x,Curve1
36.6,0.088
36.7,0.074
36.8,0.0628
36.9,0.0563
37,0.054
37.1,0.0546
37.2,0.0568
37.3,0.0602
37.4,0.0641
37.5,0.0684
37.6,0.0728
37.7,0.077
37.8,0.081
37.9,0.0846
38,0.0878
38.1,0.0906
38.2,0.093
38.3,0.095
38.4,0.0967
38.5,0.0981
38.6,0.0992
38.7,0.0999
38.8,0.1002
38.9,0.1002
39,0.0997
39.1,0.0987
39.2,0.097
39.3,0.0944
39.4,0.0908
39.5,0.0859
39.6,0.0795
39.7,0.0716
39.8,0.0624
39.8373,0.0589
