x,NoFelt,1Felt,2Felt
0.0214,5.8162,4.994,3.7573
0.1,5.938,5.0313,3.6867
0.2,6.0932,5.0786,3.5969
0.3,6.2483,5.126,3.5071
0.4,6.3358,5.1734,3.4173
0.5,6.3177,5.2208,3.3275
0.6,6.2996,5.2682,3.2377
0.7,6.2814,5.3134,3.1479
0.8,6.2633,5.2368,3.0581
0.9,6.2452,5.1601,2.9684
1,6.2271,5.0834,2.8786
1.1,6.209,5.0068,2.7888
1.2,6.1909,4.9038,2.699
1.3,5.9795,4.7758,2.6092
1.4,5.7563,4.6478,2.5194
1.5,5.533,4.5197,2.4113
1.6,5.4784,4.3917,2.2866
1.7,5.6152,4.2637,2.1619
1.8,5.752,4.1357,2.0372
1.9,5.8888,4.0077,1.9739
2,6.0256,3.8855,1.9545
2.1,6.1321,3.8426,1.9352
2.2,6.1926,3.7996,1.9158
2.3,6.2531,3.7566,1.8965
2.4,6.3137,3.7137,1.9479
2.5,6.3742,3.6707,2.1458
2.6,6.2384,3.6277,2.3436
2.7,6.0995,3.6178,2.5415
2.8,5.9607,3.8413,2.7393
2.9,5.8184,4.0648,2.9372
3,5.6488,4.2884,3.1351
3.1,5.6871,4.5119,5.0378
3.2,7.0004,10.4027,8.5129
3.3,29.5934,19.4356,21.7388
3.4,28.3912,31.712,31.0538
3.5,32.4385,33.345,33.3429
3.6,36.4858,34.978,35.632
3.7,37.7233,36.611,37.9211
3.8,38.6922,38.244,39.0551
3.9,39.6611,39.877,39.9588
4,40.63,41.2643,40.8624
4.1,41.5543,42.1297,41.6359
4.2,42.4058,42.9951,42.0592
4.3,43.2574,43.8606,42.9003
4.4,44.6849,44.726,44.6807
4.5,48.3863,48.3378,46.4796
4.6,50.1652,49.944,48.4687
4.7,50.9841,50.367,50.4578
4.8,51.555,50.7899,51.5664
4.9,51.8841,51.2129,51.5978
5,52.0642,51.6358,51.6291
5.1,52.1913,52.0588,51.6605
5.2,51.999,51.8628,51.6918
5.3,51.8067,51.6595,51.7232
5.4,50.9894,51.4562,51.7546
5.5,49.6591,50.366,50.6502
5.6,48.3288,48.7142,49.0879
5.7,46.1954,47.0469,46.6632
5.8,44.0117,43.7311,44.2384
5.9,40.4726,40.4153,40.7615
6,34.3727,32.8378,34.8546
6.1,29.1564,28.3617,30.3116
6.2,26.7246,24.5656,28.1055
6.3,24.2928,23.9558,25.8993
6.4,23.425,23.3459,23.6932
6.5,22.6403,22.7361,22.8681
6.6,22.5017,22.4413,22.0445
6.7,23.6564,24.0078,23.3196
6.8,24.8112,25.5743,24.6014
6.9,25.9659,26.4858,26.0465
7,27.1528,27.2995,27.6428
7.1,28.3508,28.1133,28.997
7.2,29.5697,28.9271,29.6688
7.3,30.9929,29.7408,30.3405
7.4,32.416,30.5546,31.0122
7.5,33.8391,31.3617,31.416
7.6,35.2623,32.161,31.7138
7.7,36.2239,33.8673,33.8487
7.8,37.0213,36.4978,36.0103
7.9,37.4152,37.2737,36.6274
8,37.3609,37.5401,37.0243
8.1,37.3066,37.3612,37.0043
8.2,37.2522,37.1823,36.9843
8.3,37.1979,37.0034,36.9642
8.4,37.1435,36.4582,36.9442
8.5,36.969,35.9015,36.9241
8.6,35.6011,35.3448,36.6227
8.7,34.2332,34.7881,35.6966
8.8,29.3481,30.5662,34.3171
8.9,30.2312,29.0969,30.5806
9,31.1143,29.9342,28.9254
9.1,31.9974,31.2086,29.226
9.2,32.8805,32.4831,30.3335
9.3,33.4715,33.3838,31.9678
9.4,33.8707,34.0407,32.9513
9.5,34.2699,34.5918,33.9686
9.6,34.6692,34.565,34.066
9.7,35.0209,34.4939,34.1634
9.8,34.8714,34.3071,34.2609
9.9,34.7219,34.1204,34.0393
10,34.5723,33.9336,33.8033
10.1,34.4228,33.7468,33.381
10.2,34.2732,33.5601,32.8585
10.3,34.1237,33.3733,32.1438
10.4,34.0922,32.573,30.9169
10.5,34.1695,31.5685,29.8577
10.6,34.2467,31.8138,29.2266
10.7,34.3239,32.0591,29.6222
10.8,34.5531,32.3043,30.0179
10.9,34.8292,32.479,30.1204
11,35.1054,32.5711,29.8978
11.1,34.9868,32.6632,30.3334
11.2,34.844,32.8322,31.272
11.3,34.7013,33.017,31.5001
11.4,34.5585,33.1329,31.7281
11.5,34.359,32.9714,31.8832
11.6,34.1467,32.8098,31.5508
11.7,33.9343,32.6482,31.2438
11.8,33.1369,32.4867,30.9628
11.9,32.2916,32.3251,30.6819
12,31.9977,32.1636,30.4009
12.1,31.7038,31.747,29.6899
12.2,31.3989,31.2748,28.6288
12.3,31.0235,30.8026,27.5677
12.4,30.648,30.3303,26.9333
12.5,30.352,29.8581,26.5154
12.6,30.5553,29.2964,26.044
12.7,30.7587,28.7301,25.3699
12.8,30.8386,28.4307,25.6218
12.9,30.7978,28.2419,25.8737
13,30.8041,28.053,25.898
13.1,31.4879,28.0849,25.7915
13.2,32.1717,28.5629,25.8189
13.3,32.4718,29.0408,26.2436
13.4,32.254,29.8727,26.4106
13.5,32.0362,29.8034,26.1651
13.6,31.8184,29.6724,25.9197
13.7,31.6006,29.5415,25.6742
13.8,31.2943,29.4106,25.4288
13.9,30.9809,29.4606,25.1338
14,30.6674,29.5527,24.7837
14.1,30.0945,29.4325,24.4335
14.2,28.3124,28.354,24.0834
14.3,27.4747,27.2755,23.2757
14.4,27.5649,26.2088,23.5994
14.5,27.6552,26.3743,23.9231
14.6,27.7454,26.5398,24.1541
14.7,28.1035,26.7053,24.2833
14.8,28.5522,26.8708,24.4125
14.9,29.001,27.2159,24.203
15,29.5135,27.9597,24.5286
15.1,30.0314,28.3146,25.0619
15.2,30.2524,28.5735,25.5952
15.3,30.3225,28.6056,26.124
15.4,30.3926,28.5553,26.307
15.5,30.4627,28.5049,26.49
15.6,30.3571,28.4546,26.673
15.7,30.0959,28.1599,26.5387
15.8,29.8346,27.8007,26.3892
15.9,29.5734,27.4416,26.2396
16,29.2704,27.0176,26.0901
16.1,27.6567,26.5768,25.9406
16.2,26.8066,26.136,24.8913
16.3,26.4026,25.7183,23.9805
16.4,26.1041,25.3064,23.0092
16.5,25.8056,24.8945,21.7808
16.6,25.4917,24.4826,20.3874
16.7,25.8466,24.0707,19.3411
16.8,26.2015,24.0584,19.2449
16.9,26.5564,24.0776,19.3447
17,26.9113,24.2433,21.4241
17.1,27.2647,24.5639,22.995
17.2,27.6099,24.8845,23.962
17.3,27.9552,25.2051,24.5629
17.4,28.1987,25.3676,24.8072
17.5,28.4304,25.3929,24.7336
17.6,28.662,25.4181,24.7951
17.7,28.838,25.4433,24.9243
17.8,28.8973,25.4686,25.0534
17.9,28.9565,25.4938,25.0755
18,28.4856,25.1213,24.7507
18.1,27.943,24.7053,24.426
18.2,27.5481,24.2893,22.9865
18.3,27.3357,23.8733,22.1398
18.4,27.1234,23.4573,19.8558
18.5,26.6199,23.1445,20.4067
18.6,25.7565,22.8506,20.3539
18.7,25.5128,22.5568,20.5434
18.8,25.7198,22.6918,21.135
18.9,25.9269,22.9056,21.561
19,26.3479,23.1194,21.9871
19.1,26.8031,23.3332,22.1714
19.2,26.7638,23.4401,22.2871
19.3,26.7245,23.4486,22.4028
19.4,26.6852,23.4571,22.5186
19.5,26.6458,23.4656,22.5036
19.6,26.6065,23.4742,22.3316
19.7,26.2,23.4086,22.1595
19.8,25.7919,23.1355,21.7102
19.9,25.3837,22.8624,21.0947
20,24.7088,22.5893,20.517
20.1,24.0336,22.2906,20.0183
20.2,23.3605,21.8333,19.5195
20.3,22.6883,21.646,19.5274
20.4,22.1269,21.6097,19.6096
20.5,22.2691,21.5735,19.6918
20.6,22.4112,21.5373,19.6475
20.7,22.5534,21.5324,19.3863
20.8,22.8899,21.5576,19.1666
20.9,23.5467,21.5828,19.5785
21,24.2034,21.608,20.1035
21.1,24.3521,21.8796,20.3791
21.2,24.4608,22.2311,20.3988
21.3,24.5695,22.5825,20.5928
21.3643,24.6393,22.8085,20.7176
